architecture,architect,year,city,country,continent,latitude,longitude
The_Beinecke_Rare_Book_&_Manuscript_Library,Gordon Bunshaft,1963,"New Haven, CT",United States,North America,41.31165676,-72.92736311
Museu_de_Arte_de_Sāo_Paulo,Lina Bo Bardi,1947,São Paulo,United States,North America,-23.56150249,-46.65594628
Brion_Family_Tomb,Carlo Scarpa,1978,"Via Brioni, Altivole TV",Italy,Europe,45.75129969,11.91374368
Bangladesh_National_Assembly_Building,"Louis Kahn, Muzharul Islam",1982,Dhaka,Bangladesh,ASIA,23.76267219,90.37855964
Neue_Staatsgalerie,"James Stirling, Michael Wilford and Associates",1984,Stuttgart,Germany,Europe,48.7802175,9.186570569
National_Museum_of_Roman_Art,José Rafael Moneo Vallés,1986,"Mérida, Badajoz",Spain,Europe,38.91713838,-6.339441485
Maison_à_Bordeaux,Rem Koolhaas,1998,Floirac,France,Europe,44.82536131,-0.5171067871
Casa_Milà,Antoni Gaudí,1912,Barcelona,Spain,Europe,41.39547303,2.161902398
Säynä¤tsalo_Town_Hall,Alvar Aalto,1949,Säynätsalo,Finland,Europe,62.14035999,25.76931878
Lloyd's_of_London,Richard Rogers and Partners,1978,London,United Kingdom,Europe,51.52205795,-0.08458995184
Institut_du_Monde_Arabe,"Gilbert Lèzenes, Pierre Soria",1980,Paris,France,Europe,48.84910218,2.357145468
Parc_de_la_Villette,Bernard Tschumi,1985,Paris,France,Europe,48.89403228,2.390270727
Jewish_Museum_Berlin,Daniel Libeskind,2001,Berlin,Germany,Europe,52.50250088,13.39535034
Hillside_Terrace_ComplexI-V,Fumihiko Maki,1992,"Shibuya City, Tokyo ",Japan,Asia,35.64760248,139.7014638
Smith_House,Richard Meier,1967,"Darien, CT",United States,North America,41.06209893,-73.45531044
New_National_Gallery,Mies Van der Rohe,1968,Berlin,Germany,Europe,52.50709906,13.36759327
Castelvecchio_Museum,Carlo Scarpa,1356,Verona VR,Italy,Europe,45.43993325,10.98780696
Piscinas_de_Marés,Álvaro Siza,1966,Leça da Palmeira,Portugal,Europe,41.19297154,-8.707489273
Michaelerplatz_House_(Looshaus),Adolf Loos,1911,1010 Wien,Austria,Europe,48.20847703,16.3667432
Rusakov_Workers'_Club,Konstantin Melnikov,1928,Moscow,United States,North America,55.79139497,37.68751536
Mill_Owners'Association_Building,Le Corbusier,1951,Gujarat,India,ASIA,23.03267881,72.5709023
Stahl_House,Pierre Koenig,1960,"West Hollywood, CA",United States,North America,34.10078192,-118.3703326
The_Breuer_Building_(Whitney_Museum_of_American_Art),"Marcel Breuer, Renzo Piano",1981,"New York City, NY",United States,North America,40.73980716,-74.0088629
Rooftop_Remodeling_Falkestrasse,COOP HIMMELB(L)AU,1988,1010 Wien,Austria,Europe,48.20858793,16.38082626
Larkin_Company_Administration_Building,Frank Lloyd Wright ,1903,"Buffalo, NY",United States,North America,42.87672079,-78.8521345
Fiat_Works (Lingotto Parcheggio),Giacomo Matté-Trucco,1923,Torino TO,Italy,Europe,45.03291121,7.662848688
Villa_Müller,Adolf Loos,1930,Prague,Czech Republic,Europe,50.09262009,14.37839788
Van_Nelle_Factory,"Leendert van der Vlugt, Johannes Brinkman",1931,Rotterdam,Netherlands,Europe,51.92327156,4.434134958
Dymaxion_House,Buckminster Fuller,1933,"Dearborn, MI",United States,North America,42.30367346,-83.23417372
Querini_Stampalia_Renovation,Carlo Scarpa,1949,Venezia VE,Italy,Europe,45.4365945,12.34113714
House_VI,Peter Eisenman,1975,"Cornwall, CT",United States,North America,41.83290684,-73.32142354
Beurs_van_Berlage,Beurs van Berlage,1903,Amsterdam,Netherlands,Europe,52.37525212,4.896278587
Gamble_House,"Henry Mather Greene, Charles Sumner Greene",1908,"Pasadena, CA",United States,North America,34.15182375,-118.1609311
Lovell_Beach_House,Rudolph Schindler,1926,"Newport Beach, CA",United States,North America,33.60617316,-117.9176351
Turin_Exhibition_Hall,Massimiliano Fuksas,1949,Torino TO,Italy,Europe,45.07742872,7.682805699
"Municipal_Orphanage,Amsterdam",Aldo van Eyck,1960,Amsterdam,Netherlands,Europe,52.34097283,4.855760827
Carpenter_Center_for_the_Visual_Arts,"Josep Lluís Sert, Le Corbusier",1963,"Cambridge, MA",United States,North America,42.3738752,-71.11450009
Free_University_of_Berlin,"Candilis, Josic, Woods and Schiedhelm",1948,Berlin,Germany,Europe,52.45446832,13.29346607
Bagsverd_Church,Jørn Utzon,1976,Bagsværd,Denmark,Europe,55.76192879,12.4439722
SESC_Pompéia,Lina Bo Bardi,1986,São Paulo,Brazil,South America,-23.52589467,-46.68332257
Heidi_Weber_House,Le Corbusier,1967,Zürich,Switzerland,Europe,47.3562638,8.550781966
Gallaratese_Il_Apartments,Aldo Rossi & Carlo Aymonino,1972,Milano,Italy,Europe,45.4992342,9.100900195
Centraal_Beheer_Building,Herman Hertzberger,1972,NB Apeldoorn,Netherlands,Europe,52.20969992,5.960990714
Vitra_Fire_Station,Zaha Hadid,1993,Weil am Rhein,Germany,Europe,47.60049679,7.614858602
Yokohama_International_Port_Terminal,Farshid Moussavi and Alejandro Zaera-Polo,2002,"Kanagawa, Yokohama",Japan,Asia,35.45125933,139.6473941
Leaning_Tower_of_Pisa,"Diotisalvi, Guglielmo",1372,"Piazza del Duomo, Pisa PI",Italy,Europe,43.72316133,10.39668283
Taj_Mahal,Ustad Ahmad Lahouri,1648,Agra,India,Asia,27.17535476,78.04207782
