architecture,latitude,longitude,city,country,continent,architect,year
Jin_Mao_Tower,31.23569182,121.5057491,Shanghai,China,Asia,Adrian Smith,
Himalayas_Center,31.21038378,121.5619361,Shanghai,China,Asia,Arata Isozaki,
First_Unity_Temple,41.88848405,-87.7966513,"Oak Park, IL",United States,North America,Frank Lloyd Wright,
Shanghai_World_Financial_Center,31.23464115,121.5078587,Shanghai,China,Asia,William Pedersen,
TAIPEI_101,25.03410543,121.5645883,Taipei,Taiwan,Asia,William Pedersen,
The_Canton_Tower,23.10807236,113.3404147,Guangzhou,China,Asia,"Mark Hemel, Barbara Kuit",
Oriental_Pearl_TV_Tower,31.23997325,121.4998411,Shanghai,China,Asia,"Jia Huan Cheng, Zhang Xiulin, Lin Benlin",
Harbin_Grand_Theatre,45.80669841,126.5776911,Harbin,China,Asia,Ma Yansong,
Tiantan,39.88143767,116.4191967,Beijing,China,Asia,mmm,
Foridden_City,39.91713975,116.3906705,Beijing,China,Asia,mmm,
Eiffel_Tower,48.85849714,2.294481298,Paris,France,Europe,"Stephen Sauvestre, Maurice Koechlin, Émile Nouguier",
Hanging Temple,39.65949555,113.7120585,"Hunyuan County, Datong",China,Asia,mmm,
Itsukushima Shrine,34.29610481,132.3198929,"Miyajimacho, Hatsukaichi, Hiroshima",Japan,Asia,mmm,
Kiyomizu-dera,34.99500549,135.7849927,"Higashiyama Ward, Kyoto",Japan,Asia,mmm,
Arc de Triomphe,48.87399632,2.295038227,Paris,France,Europe,mmm,
Tōdai-ji,34.68915269,135.8398265,"Zoshicho, Nara",Japan,Asia,mmm,
Big_Ben,51.50085608,-0.1245824863,London,United Kingdom,Europe,"Augustus Pugin, Charles Barry",
Weissenhofmuseum im Haus,48.80007549,9.1778249,Stuttgart,,,Le Corbusier,
Saint_Basil's_Cathedral,55.7526376,37.62312971,"Red Square, Moscow",Russia,Asia,"Postnik Yakovlev, Ivan Barma",
Notre_Dame_de_Paris,48.85315879,2.349955742,Paris,France,Europe,Maurice de Sully,
San_Francisco_Art_Museum,37.78589624,-122.4010615,"San Francisco, CA",United States,North America,Mario Botta,
Burj_Al_Arab,25.14134603,55.18524116,Dubai,Emirates,Asia,Tom Wright,
Casa_Rotonda_Stabio,45.85486743,8.93291271,Stabio,Switzerland,Europe,Mario Botta,
Church_of_God_the_Merciful_Father,41.88252905,12.58560587,Roma RM,Italy,Europe,Richard Meier,
Chiesa_Seriate,45.68001796,9.710181571,Seriate BG,Italy,Europe,Mario Botta,
Mario_Botta_Church_of_Santo_Volto,45.09342811,7.661422327,Torino TO,Italy,Europe,Mario Botta,
Deutsches_Historisches_Museum,52.51826287,13.39667095,Berlin,Germany,North America,I.M.Pei,
East_Building_National_Gallery_of_Art,38.89142205,-77.01708529,"Washington, DC",United States,North America,I.M.Pei,
Angkor_Wat,13.41267801,103.8669321,Krong Siem Reap,Cambodia,Asia,King Suryavarman II,
Bank_of_China_Tower,22.27955248,114.1615038,Hong Kong,China,Asia,I.M.Pei,
Great_Sphinx_of_Giza,29.97545456,31.13753521,Giza Governorate,Egypt,Africa,Khafre,
Acropolis_of_Athens,37.97172681,23.72584576,Athens,Greece,Europe,xxx,
Machu_Picchu,-13.1629218,-72.54493072,Andes Mountains,Peru,South America,Hiram Bingham,
Green_Building_MIT,42.3605149,-71.08926116,"Cambridge, MA",United States,North America,I.M.Pei,
Moai,-24.29378103,-108.4515929,"Easter Island, Valparaíso",Chile,South America,xxx,
Douglas_House,45.50138155,-85.09786573,"Harbor Springs, MI",United States,North America,Richard Meier,
Porto_House（Casa_da_Musica）,41.15907484,-8.630642358,Porto,Portugal,Europe,Rem Koolhaas,
Thorncrown_Chapel,36.41648866,-93.77267785,"Eureka Springs, AR",United States,North America, E. Fay Jones,
Pyramid,30.09336595,31.15068133,Giza Governorate,Egypt,Africa,xxx,
Chichen_Itza,20.68441537,-88.56779333,Yucatan,Mexico,North America,xxx,
Hilversum_Town_Hall,52.22919952,5.16919733,JE Hilversum,Neitherland,Europe,Willem Marinus Dudok,
Hungarian_Parliament_Building,47.50735289,19.04565827,Budapest,Hungary,Europe,Imre Steindl,
Zollverein_School_of_Management_and_Design,51.48779499,7.044625085,Essen,Germany,Europe,SANAA,
21st_Century_Museum_of_Contemporary_Art_Kanazawa,36.56104403,136.6585682,"Hirosaka, Kanazawa, Ishikawa",Japan,Europe,SANAA,
Sultan_Ahmed_Mosque,41.00553912,28.9768138,İstanbul,Turkey,Europe,Sedefkar Mehmed Agha,
Louvre_Pyramid,48.86115465,2.335815383,Paris,France,Europe,I.M.Pei,
The_Therme_Vals,46.62253687,9.181162602,Vals Valley,Switzerland,Europe,Peter Zumthor,
Saint_Benedict_Chapel,46.73504236,8.939083471,Sumvitg,Switzerland,Europe,Peter Zumthor,
House_II,44.53229242,-72.399254,"Hardwick, VT",United States,North America,Peter Eisenman,
Merlion_Singapore,1.286966848,103.854534,Singapore,Singapore,Asia,Alec Fraser-Brunner,
Tadao_Ando_4x4,34.64216332,135.0217681,"Tarumi-ku, Kobe, Hyogo",Japan,Asia,Tado Ando,
Valley_of_the_Kings,25.74060855,32.60140057,Luxor Governorate,Egypt,Africa,xxx,
Kwame_Nkrumah_Mausoleum,5.545194826,-0.203052545,Accra,Ghana,Africa,Don Arthur,
Nihonbashi_House,35.65544705,139.6639696,"Setagaya City, Tokyo",Japan,Asia,Tado Ando,
Church_of_the_Light,34.81869633,135.5371373,"Kitakasugaoka, Ibaraki, Osaka",Japan,Asia,Tado Ando,
Lee_House,41.92893982,-87.64528656,"Takanawa, Shinagawa, Tokyo",Japan,Asia,Tado Ando,
Hassan_II_Mosque,33.6086959,-7.632799073,"Bd de la Corniche, Casablanca",Morocco,Africa,Michel Pinseau,
Row_House_in_Sumiyoshi,34.6111301,135.4922353,"Sumiyoshi Ward, Osaka",Japan,Asia,Tadao Ando,
Memorial_du_Martyr,36.74578783,3.069841871,"Chemin Omar Kechkar, El Madania",Algeria,Africa,"Bachir Yelles, Marian Konieczny",1982
Basilique_Sainte,-4.268294518,15.284135,Brazzaville,Congo,Africa,Louis-Napoléon Audet,
Weissenhof_Estate,48.80087055,9.177157314,Stuttgart,Germany,Europe,Le Corbusier,
Mother_House,46.94765953,7.438294769,"Bubenbergpl, Bern",Switzerland,Europe,Le Corbusier,
Villa_Stein_de_Monzie,48.84713967,2.177278715,Vaucresson,France,Europe,Le Corbusier,
The_Curutchet_House,-34.91108944,-57.94183202,Provincia de Buenos Aires,Argentina,South America,Le Corbusier,
Fogo_Island_Inn,49.74562213,-54.18333864,Joe Batt's Arm,Canada,North America,Todd Saunders,
CN_Tower,43.64276028,-79.38708899,Toronto,Canada,North America,John Andrews,
Parliament_Buildings,45.42386287,-75.70081404,Ontario,Canada,North America,Francis Rattenbury,1859–1876
Fairmont_Le_Chateau_Frontenac,46.81211862,-71.20520767,Québec,Canada,North America,Bruce Price,
Villa_Baizeau,36.85885224,10.33908562,Tunis,Tunisia,Africa,Le Corbusier,
Koshino_House,34.77412285,135.2850476,"Ashiya, Hyogo",Japan,Asia,Tadao Ando,
The Church of the Light ,34.81874037,135.5371695,"Ibaraki, Osaka",Japan,Asia,Tadao Ando,
Ito_House,34.079544061160206,134.5491979375043,"Setagaya Ku, Tokyo",Japan,Asia,Tadao Ando,
Australian_War_Memorial,-35.28096907,149.1484112,Treloar Cres,Australia,Australia,"Emil Sodersten, John Crust",
Church_of_Water,43.06395852,142.6262197,"Tomamu, Shimukappu, Hokkaido",Japan,Asia,Tadao Ando,
Takahashi_City_Nariwa_Museum,34.78113166,133.5366456,"Takahashi, Okayama",Japan,Asia,Tadao Ando,
Parliament_House,28.54814982,-81.39761379,Canberra ACT 2600,Australia,Australia,"Edwin Lutyens, Herbert Baker",
Modern_Art_Museum_of_Fort_Worth,32.7493788,-97.36327502,"Fort Worth, TX",United States,North America,Tadao Ando,
Sainte_Marie_de_La_Tourette,45.81948678,4.622709775,Rte de la Tourette,France,Europe,Le Corbusier,
Palais_des_Filateurs,23.03274792,72.57089157,Ahmedabad,India,Asia,Le Corbusier,
Walsh_House,-35.9211482,150.1127334,Bingie NSW 2537,Australia,Australia,Glenn Murcutt,
Magney_house,-36.01299543,150.1519512,Bingie NSW 2537,Australia,Australia,Glenn Murcutt,
Walden7,41.38041958,2.067724211,"Sant Just Desvern, Barcelona",Spain,Europe,Ricardo Bofill,
Lac_de_la_sourderie,48.76696704,2.046286042,Montigny-le-Bretonneux,France,Europe,Ricardo Bofill,
Espaces_dAbraxas,48.84010364,2.542285998,Paris,France,Europe,Ricardo Bofill,
Dancing_House,50.07554768,14.41403922,Prague,Czech Republic,Europe,Vlado Milunić,
Gateway_Arch,38.62488376,-90.18474412,"St. Louis, MO",United States,North America,,
The_Centre_Pompidou,48.86076197,2.352255727,Paris,France,Europe,,
Niterói_Contemporary_Art_Museum,-22.90739106,-43.12592065,"Niterói, Rio de Janeiro",Brazil,South America,,
Lotus_Temple,28.55368046,77.25883713,New Delhi,India,Asia,,
GSD_Gund_Hall,42.37575221,-71.11365406,"Cambridge, MA",United States,North America,,
MIT_Stata_Center,42.36179974,-71.0906355,"Cambridge, MA",United States,North America,,
Disney_Concert_Hall,34.05544433,-118.2498236,"Los Angeles, CA",United States,North America,,
Westminster_Abbey,51.49945501,-0.1272744931,London,United Kingdom,Europe,,
Dresden_Frauenkirche,51.05200152,13.74156451,"Dresden, Saxony",Germany,Europe,George Bähr,
Cooper_Square_Morphosis,40.72933364,-73.99030172,"New York City, NY",United States,North America,,
Simmons_Hall,42.3575215,-71.10081436,"Cambridge, MA",United States,North America,,
Milstein_Hall,42.45148745,-76.48254687,"Ithaca, NY",United States,North America,OMA,
Golden_Gate_Bridge,37.82011503,-122.4782444,"San Francisco, California",United States,North America,,
Gwanghwamun,37.57631541,126.9768009,"Sejongno, Jongno-gu, Seoul",South Korea,Asia,,
Himeji_Castle,34.83966912,134.6938618,"Himeji, Hyogo",Japan,Asia,,
Borobudur,-7.604199646,110.2035868,"Kabupaten Magelang, Jawa Tengah",Indonesia,Asia,,
Kinkaku-ji,35.03961594,135.7292002,"Kita Ward, Kyoto",Japan,Asia,,
